UNITID,mean_earnings_after10,median_earnings_after10,Sat_Mp_Critical_Reading,Sat_Mp_Math
177968,47000,41300,500.0,525.0
178059,51100,47200,495.0,530.0
178244,39200,35600,475.0,465.0
178396,56600,48300,570.0,585.0
178402,57200,45700,580.0,560.0
178411,72400,71200,631.0,651.0
178420,49200,42900,495.0,515.0
178615,50500,44500,615.0,585.0
178624,43700,40000,445.0,550.0
178679,33900,30500,515.0,508.0
178697,35300,32500,546.0,547.0
179043,57300,50800,556.0,521.0
179159,64900,56500,600.0,620.0
179265,110600,124100,558.0,636.0
179326,37400,33700,490.0,490.0
179548,41000,33900,537.0,505.0
179557,41400,37000,487.0,521.0
179566,44500,39300,540.0,552.0
179867,87900,70100,730.0,755.0
179894,47900,42300,578.0,578.0
179946,49800,42700,505.0,510.0
179955,51300,45700,573.0,560.0
179964,40300,36500,500.0,490.0
180106,49200,45900,545.0,560.0
180416,52100,41700,535.0,570.0
180461,48900,43200,560.0,570.0
180489,43300,35500,545.0,530.0
180522,40400,37100,450.0,459.0
180595,47100,38800,497.0,496.0
180984,44100,40100,488.0,509.0
181002,70100,59700,575.0,590.0
181020,48200,44300,480.0,540.0
181093,34800,31400,498.0,417.0
181127,47500,44400,480.0,470.0
181215,45800,41300,445.0,480.0
181330,44400,39900,470.0,478.0
181394,49300,44200,525.0,545.0
181446,52500,46000,530.0,560.0
181464,52700,46400,555.0,580.0
181738,47700,40800,528.0,502.0
181853,39000,35400,455.0,435.0
182281,49600,45000,505.0,510.0
182290,56300,47000,535.0,550.0
182458,46600,42100,465.0,485.0
182670,110200,75500,725.0,730.0
182795,45000,39700,480.0,490.0
183044,57700,51400,540.0,555.0
183062,45800,42400,490.0,485.0
183071,57700,51400,545.0,555.0
183239,63200,58300,565.0,570.0
183822,42700,38200,425.0,435.0
183910,48700,44400,465.0,495.0
183974,49700,45800,465.0,475.0
184603,54400,48100,480.0,490.0
184612,52800,47300,445.0,455.0
184694,54400,48100,510.0,520.0
184773,43600,44400,465.0,480.0
184782,55400,50000,550.0,575.0
185129,46000,42700,425.0,450.0
185262,48400,46100,455.0,465.0
185572,55900,50500,505.0,520.0
185828,70300,68500,575.0,635.0
186131,116300,74700,740.0,755.0
186201,56300,53200,535.0,545.0
186283,54100,50600,503.0,510.0
186371,68100,57900,495.0,510.0
186380,68100,57900,590.0,640.0
186399,68100,57900,485.0,520.0
186432,50900,45800,460.0,470.0
186584,63700,57200,575.0,585.0
186618,49200,43400,412.0,410.0
186867,91900,89200,645.0,705.0
186876,50700,47500,520.0,540.0
187134,64900,58500,590.0,610.0
187444,49100,46600,490.0,495.0
187648,34800,29500,451.0,461.0
187912,48200,39700,440.0,480.0
187967,58500,50000,620.0,610.0
187985,43900,36400,535.0,540.0
188030,40300,34600,465.0,480.0
188182,41000,36200,438.0,418.0
188429,63000,58500,550.0,560.0
188526,114200,124700,550.0,590.0
188641,47300,41400,505.0,520.0
189097,69700,57900,690.0,680.0
189705,51100,47300,535.0,545.0
189848,38800,37100,490.0,477.0
190044,74200,72000,570.0,612.0
190099,81100,63600,680.0,695.0
190150,115600,83300,745.0,755.0
190248,53100,48000,465.0,455.0
190415,101200,77200,700.0,730.0
190512,63600,57200,595.0,645.0
190549,48800,43900,535.0,570.0
190567,50900,46300,535.0,585.0
190594,51800,47200,570.0,590.0
190600,50000,44900,485.0,495.0
190637,47500,43100,495.0,500.0
190664,52900,48200,525.0,565.0
190691,45300,40800,430.0,455.0
190716,51700,46400,490.0,505.0
190761,52500,46300,440.0,445.0
191241,67000,59200,630.0,640.0
191515,74300,60200,695.0,695.0
191533,49500,45800,495.0,500.0
191630,62700,53500,630.0,625.0
191649,59900,53100,580.0,585.0
191676,42400,37400,555.0,547.0
191931,60900,56100,500.0,495.0
192192,46700,43800,465.0,480.0
192271,48900,46000,472.0,455.0
192323,55600,49600,545.0,560.0
192448,58400,49000,525.0,540.0
192703,70800,65000,540.0,565.0
192864,45500,41400,540.0,510.0
192925,44200,39400,450.0,435.0
193292,64100,60500,535.0,540.0
193353,51700,51600,490.0,490.0
193399,61000,54400,445.0,435.0
